group_old,var_worker,var_firm,cov_worker_firm,N_obs,N_id,N_firmid
overall,2.0010247551287,1.70438245666736,0.311323148956721,2025565,579027,40987
1,1.99393052989882,1.67593851847309,0.313593655594046,40751,39621,24222
2,2.01891075898024,1.69031163971473,0.311754146678809,40572,39440,24137
3,1.98423515179926,1.7201345245892,0.326697727122613,40714,39587,24243
4,1.99918441729779,1.6930523782563,0.307517602617651,40425,39310,24122
5,2.01219392494001,1.68955205599847,0.299044357319356,40506,39337,24124
6,2.03404002320174,1.69465761908805,0.303190655290464,40730,39561,24282
7,2.02215415551417,1.71423358071244,0.334092601083924,40304,39177,24021
8,1.99191766033383,1.69505900459791,0.307634003063085,40481,39305,24058
9,2.02156420403817,1.70079820332934,0.296422373252143,40576,39416,24186
10,1.99023102454187,1.67478714765376,0.301374528207871,40421,39305,24057
11,2.0436092871268,1.73219238018969,0.317791123329411,40324,39201,24118
12,1.99548640871125,1.71449787944114,0.32130257182355,40703,39536,24164
13,1.98917987939387,1.68581388986558,0.321184820544318,40717,39563,24209
14,2.01529717049705,1.68866560570863,0.296170894855817,40362,39194,24059
15,1.98831050781826,1.70352550366376,0.307793276659195,40790,39604,24274
16,2.0137912772154,1.71472613062395,0.288300335805526,40763,39572,24104
17,1.99893679301734,1.71445109869719,0.293820475390525,40571,39442,24092
18,2.01215329542675,1.69214534032323,0.322040416556283,40623,39499,24097
19,2.01976193802646,1.68731774508075,0.313877283124134,40356,39250,24209
20,2.00682516291108,1.73118648198368,0.297811380552545,40583,39419,24274
21,1.98119459005749,1.71239745881546,0.307595939915167,40502,39387,24083
22,1.97696472901891,1.71695784504507,0.315701160702841,40693,39555,24217
23,2.00125182953722,1.71963384000735,0.304210491897291,40698,39534,24151
24,2.02249217839579,1.70984839452386,0.325786659708364,40673,39529,24141
25,1.99605740276958,1.70270334880132,0.30120802077128,40644,39554,24223
26,1.99319718925547,1.70522176850899,0.317973386466048,40099,38947,23997
27,1.97804659482317,1.70814211014418,0.307330873787166,40722,39579,24191
28,1.99181901420042,1.71374279844563,0.289809620715933,40509,39397,24171
29,2.01119822942062,1.7076514151107,0.322105519908903,40496,39343,24194
30,1.99031490360894,1.68307605096238,0.327140473791525,40183,39124,24059
31,2.00800123714692,1.72641770630275,0.307568057832343,40571,39427,24162
32,1.97389831714739,1.69598811084553,0.330010945142421,40105,39026,23986
33,1.9952546264544,1.68933503400516,0.291238356097196,40288,39213,24184
34,2.00512988928178,1.70632374821242,0.33826262276883,40487,39311,24213
35,2.01325914883,1.70885873853692,0.301897491351086,40357,39228,24056
36,1.9904965145823,1.70831098205081,0.325344475898229,40377,39279,24156
37,1.9950746835247,1.69256788161388,0.3021267805103,40475,39317,24123
38,2.01495902198702,1.72031300955581,0.305891956282636,40440,39288,24147
39,1.99795784772526,1.70790720353921,0.313397179261432,40450,39306,24131
40,2.02033179848896,1.74154820737146,0.325619506448826,40674,39489,24174
41,2.01209376039427,1.71274995379861,0.307548685038879,40325,39198,24014
42,1.98704400715407,1.68212605045892,0.288238206109417,40830,39698,24188
43,1.98532215872563,1.73235824518593,0.327520301072287,40488,39306,24174
44,1.97814788151522,1.70278028328538,0.29336414072374,40283,39157,23983
45,1.98339903967127,1.70063807483625,0.324339074190241,40726,39587,24183
46,2.00016427562438,1.68436510582082,0.313643061742791,40325,39228,24077
47,2.0175364817883,1.70307423946667,0.323028356945716,40450,39303,24087
48,2.02614798198995,1.70494637184558,0.303606858994079,40534,39426,24142
49,1.97844007848879,1.71403202508108,0.332517181924836,40592,39419,24101
50,1.97460260193897,1.69099148713875,0.3112180535025,40297,39184,23929
